,divYear,pop,appsReceived,appsPaid,divAmount,percentChange,totalDisbursed,year,sni,sniAmount,rollingSni,rollingSniSum,rollingStd,divRough,divRough1,fiscalYear,principal,er,fundValue,fundValueStd,pomv,disburseDiff,valueSniStdDiff,valueSniStdDiffRatio,normalizedvalueStd,normalizedMean
20,1998,617082,585222,565657,1540.88,0.18899999999999997,871609558.2,1998,2594.8,2594800000.0,1700400000.0,8502000000.0,664144257.6729847,850200000.0,892710000.0,1998,22487400000.0,1388900000.0,23876300000.0,3488500238.3545856,0.03650521890745216,-21100441.799999952,2824355980.681601,5.25262425753333,0.027816045939822533,0.07121706462056517
19,1999,622000,592779,573324,1769.84,0.149,1014691748.0,1999,2544.1,2544100000.0,1990360000.0,9951800000.0,649699709.8660272,995180000.0,1044939000.0,1999,22541700000.0,2590400000.0,25132200000.0,3594348520.5249643,0.04037417130215421,-30247252.0,2944648810.658937,5.532322803816774,0.025851286790095067,0.07919561359530801
18,2000,627533,619063,583633,1963.86,0.11,1146173503.0,2000,2222.2,2222200000.0,2233240000.0,11166200000.0,347063038.9424953,1116620000.0,1172451000.0,2000,23543400000.0,2972500000.0,26516000000.0,3259455675.875958,0.04322573174686981,-26277497.0,2912392636.9334626,9.39153787682939,0.013088815769440914,0.0842223563131694
17,2001,632241,620486,586848,1850.28,-0.057999999999999996,1085833117.0,2001,1199.1,1199100000.0,2119240000.0,10596200000.0,563660050.9172173,1059620000.0,1112601000.0,2001,22431200000.0,2383800000.0,24815000000.0,2016450158.5707488,0.04375712742292968,-26767883.0,1452790107.6535316,3.577422517862451,0.02271448925719191,0.08540157163006246
16,2002,640544,621257,590031,1540.76,-0.16699999999999998,909096163.6,2002,257.0,257000000.0,1763440000.0,8817200000.0,1012285944.2864946,881720000.0,925806000.0,2002,22389400000.0,1135800000.0,23525200000.0,1175788389.974998,0.038643504140241106,-16709836.399999976,163502445.68850338,1.161518043998672,0.043029854976216766,0.07495961777158111
15,2003,647747,626009,596176,1107.56,-0.281,660300690.6,2003,355.3,355300000.0,1315540000.0,6577700000.0,1047320162.6054947,657770000.0,690658500.0,2003,24094300000.0,100000000.0,24194300000.0,1122558407.38912,0.02729158068636001,-30357809.399999976,75238244.78362536,1.0718388201335203,0.04328788857728865,0.05437396411551481
14,2004,656834,631229,599992,919.84,-0.17,551896641.3,2004,1502.1,1502100000.0,1107140000.0,5535700000.0,820946138.9153371,553570000.0,581248500.0,2004,26541200000.0,858600000.0,27399800000.0,1619802036.6699128,0.02014236021065847,-29351858.700000048,798855897.7545757,1.9730917290262822,0.02996175661557154,0.040406864283680906
13,2005,663253,632831,597639,845.76,-0.081,505459160.6,2005,1754.3,1754300000.0,1013560000.0,5067800000.0,675921857.9096255,506780000.0,532119000.0,2005,28521800000.0,1439800000.0,29961600000.0,2666503317.455277,0.016870232584374666,-26659839.399999976,1990581459.5456514,3.9449875547770836,0.022559604891248315,0.03382863398483392
12,2006,670053,629098,595166,1106.96,0.309,658824955.4,2006,2689.5,2689500000.0,1311640000.0,6558200000.0,1019506350.1518762,655820000.0,688611000.0,2006,30325000000.0,2584700000.0,32909699999.999996,3937414079.951459,0.02001917232305369,-29786044.600000024,2917907729.7995825,3.8620790143826973,0.03097890136196551,0.03985572642716282
11,2007,674510,634490,600278,1654.0,0.494,992859812.0,2007,3428.9,3428900000.0,1946020000.0,9730100000.0,1174298433.959613,973010000.0,1021660500.0,2007,33694500000.0,4131600000.0000005,37826100000.0,5223329109.389911,0.02624800896735323,-28800688.0,4049030675.430298,4.448042301970363,0.031044660537555103,0.05144648800695816
10,2008,679720,648532,616484,2069.0,0.251,1275505396.0,2008,2938.0,2938000000.0,2462560000.0,12312800000.0,811707088.7949667,1231280000.0,1292844000.0,2008,31213300000.0,5320700000.0,36533900000.0,4369060015.266441,0.0349129273359811,-17338604.0,3557352926.4714746,5.382557421979155,0.022217915108843203,0.0674047939037442
9,2009,692314,660290,624888,1305.0,-0.369,815478840.0,2009,-2475.6,-2475600000.0,1667020000.0,8335100000.0,2394472536.280172,833510000.0,875185500.0,2009,29496100000.0,420000000.0,29916100000.0,3660870556.5753064,0.02725886195058848,-59706660.0,1266398020.2951345,1.5288839195719037,0.08003959527746504,0.05572317247234766
8,2010,710231,670399,637873,1281.0,-0.018000000000000002,817115313.0,2010,1590.5,1590500000.0,1634260000.0,8171300000.0,2394100370.285256,817130000.0,857986500.0,2010,32045000000.0,1209800000.0,33254900000.0,3140183690.168458,0.024571275601490306,-40871187.0,746083319.8832021,1.311634102372369,0.07199240924751708,0.04914343450138175
7,2011,722190,677888,644959,1174.0,-0.084,757181866.0,2011,2143.1,2143100000.0,1524980000.0,7624900000.0,2345876298.315834,762490000.0,800614500.0,2011,37832400000.0,2307800000.0,40140300000.0,4007075585.511209,0.018863383332959643,-43432634.0,1661199287.195375,1.7081359270256464,0.05844192241502515,0.0379912457056873
6,2012,732298,679633,641644,878.0,-0.252,563363432.0,2012,1568.0,1568000000.0,1152800000.0,5764000000.0,2103383703.7022035,576400000.0,605220000.0,2012,38252500000.0,2080600000.0,40333100000.0,4492937345.211927,0.01396776920197059,-41856568.0,2389553641.5097237,2.1360521797824275,0.05215031087871261,0.028581983532136136
5,2013,736399,672603,634366,900.0,0.025,570929400.0,2013,2927.8,2927800000.0,1150760000.0,5753800000.0,2101223284.8985848,575380000.0,604149000.0,2013,40909400000.0,3944000000.0,44853400000.0,6008481994.480803,0.012728787561255112,-33219600.0,3907258709.5822177,2.859516186434609,0.04684646615192126,0.025656026076061125
4,2014,735601,676467,637289,1884.0,1.093,1200652476.0,2014,3530.9,3530900000.0,2352060000.0,11760300000.0,860163980.2967801,1176030000.0,1234831500.0,2014,45002400000.0,6211300000.0,51213800000.0,6628375586.446502,0.02344392480151834,-34179024.0,5768211606.149721,7.705944143533575,0.016795550814366053,0.04592629330375797
3,2015,737625,678308,641561,2072.0,0.1,1329314392.0,2015,2907.3,2907300000.0,2615420000.0,13077100000.0,765025108.7382685,1307710000.0,1373095500.0,2015,45638100000.0,7162400000.0,52800500000.0,5939448882.430086,0.025176170528688174,-43781108.0,5174423773.691817,7.763730646992528,0.014488974701721925,0.04953400062499408
2,2016,739828,674939,638178,1022.0,-0.507,652217916.0,2016,2198.2,2198200000.0,2626440000.0,13132200000.0,756873967.7119299,1313220000.0,1378881000.0,2016,44199700000.0,8570000000.0,52769700000.0,5568420375.205162,0.012359704830613022,-726663084.0,4811546407.493232,7.357130265741325,0.014342965143101627,0.04977174401218881
1,2017,0,670706,633005,1100.0,0.076,696305500.0,2017,3214.2,3214200000.0,2955680000.0,14778400000.0,493610298.7175202,1477840000.0,1551732000.0,2017,46969600000.0,12815500000.0,59785100000.0,5318089908.5103855,0.01164680664580305,-855426500.0,4824479609.792866,10.773863354001422,0.008256410020515482,0.049438405221367866
0,2018,0,0,"639,247",1600.0,0.3125,1022795200.0,2018,6324.4,6324400000.0,3635000000.0,18175000000.0,1582302384.1857786,1817500000.0,1908375000.0,2018,46030000000.0,18864600000.0,64894600000.0,5843623798.8939705,0.015760867622267492,-885579800.0,4261321414.708192,3.6931144497396327,0.024382651009263925,0.056013905625429544
